data,valor,serie,fonte,codigo
2007-11-01,11.18,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2007-12-01,11.18,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-01-01,11.18,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-02-01,11.18,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-03-01,11.18,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-04-01,11.37,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-05-01,11.63,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-06-01,12.09,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-07-01,12.36,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-08-01,12.92,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-09-01,13.39,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-10-01,13.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-11-01,13.64,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2008-12-01,13.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-01-01,13.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-02-01,12.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-03-01,11.7,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-04-01,11.11,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-05-01,10.16,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-06-01,9.54,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-07-01,9.01,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-08-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-09-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-10-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-11-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2009-12-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-01-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-02-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-03-01,8.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-04-01,8.72,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-05-01,9.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-06-01,9.94,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-07-01,10.32,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-08-01,10.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-09-01,10.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-10-01,10.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-11-01,10.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2010-12-01,10.66,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-01-01,10.85,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-02-01,11.17,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-03-01,11.62,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-04-01,11.74,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-05-01,11.92,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-06-01,12.1,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-07-01,12.25,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-08-01,12.42,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-09-01,11.91,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-10-01,11.7,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-11-01,11.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2011-12-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-01-01,10.7,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-02-01,10.4,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-03-01,9.82,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-04-01,9.35,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-05-01,8.87,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-06-01,8.39,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-07-01,8.07,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-08-01,7.85,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-09-01,7.39,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-10-01,7.23,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-11-01,7.14,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2012-12-01,7.16,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-01-01,7.11,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-02-01,7.12,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-03-01,7.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-04-01,7.26,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-05-01,7.42,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-06-01,7.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-07-01,8.23,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-08-01,8.45,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-09-01,8.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-10-01,9.25,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-11-01,9.45,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2013-12-01,9.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-01-01,10.17,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-02-01,10.43,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-03-01,10.65,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-04-01,10.87,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-05-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-06-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-07-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-08-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-09-01,10.9,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-10-01,10.92,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-11-01,11.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2014-12-01,11.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-01-01,11.82,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-02-01,12.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-03-01,12.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-04-01,12.68,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-05-01,13.15,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-06-01,13.58,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
2015-07-01,13.69,Brasil - Selic acumulada no mês anualizada base 252,BCB/SGS,4189
