nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,periodo,mes,secoes_e_atividades_industriais_cnae_2_0_codigo,secoes_e_atividades_industriais_cnae_2_0,periodo_numerico,data,base,fonte,codigo,grandes_categorias_economicas_codigo,grandes_categorias_economicas,ajuste_sazonal,serie
1,Brasil,30,Número-índice,7178186,1,Brasil,11599,PIMPF - Número-índice (2012=100),200302,fevereiro 2003,129314,1 Indústria geral,200302,2003-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7741394,1,Brasil,11599,PIMPF - Número-índice (2012=100),200303,março 2003,129314,1 Indústria geral,200303,2003-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7652576,1,Brasil,11599,PIMPF - Número-índice (2012=100),200304,abril 2003,129314,1 Indústria geral,200304,2003-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7968128,1,Brasil,11599,PIMPF - Número-índice (2012=100),200305,maio 2003,129314,1 Indústria geral,200305,2003-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7629354,1,Brasil,11599,PIMPF - Número-índice (2012=100),200306,junho 2003,129314,1 Indústria geral,200306,2003-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8134515,1,Brasil,11599,PIMPF - Número-índice (2012=100),200307,julho 2003,129314,1 Indústria geral,200307,2003-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8163758,1,Brasil,11599,PIMPF - Número-índice (2012=100),200308,agosto 2003,129314,1 Indústria geral,200308,2003-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8565193,1,Brasil,11599,PIMPF - Número-índice (2012=100),200309,setembro 2003,129314,1 Indústria geral,200309,2003-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8999382,1,Brasil,11599,PIMPF - Número-índice (2012=100),200310,outubro 2003,129314,1 Indústria geral,200310,2003-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8459253,1,Brasil,11599,PIMPF - Número-índice (2012=100),200311,novembro 2003,129314,1 Indústria geral,200311,2003-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7787148,1,Brasil,11599,PIMPF - Número-índice (2012=100),200312,dezembro 2003,129314,1 Indústria geral,200312,2003-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7679072,1,Brasil,11599,PIMPF - Número-índice (2012=100),200401,janeiro 2004,129314,1 Indústria geral,200401,2004-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7403381,1,Brasil,11599,PIMPF - Número-índice (2012=100),200402,fevereiro 2004,129314,1 Indústria geral,200402,2004-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8692685,1,Brasil,11599,PIMPF - Número-índice (2012=100),200403,março 2004,129314,1 Indústria geral,200403,2004-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8219893,1,Brasil,11599,PIMPF - Número-índice (2012=100),200404,abril 2004,129314,1 Indústria geral,200404,2004-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8633377,1,Brasil,11599,PIMPF - Número-índice (2012=100),200405,maio 2004,129314,1 Indústria geral,200405,2004-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8612739,1,Brasil,11599,PIMPF - Número-índice (2012=100),200406,junho 2004,129314,1 Indústria geral,200406,2004-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9009002,1,Brasil,11599,PIMPF - Número-índice (2012=100),200407,julho 2004,129314,1 Indústria geral,200407,2004-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9214452,1,Brasil,11599,PIMPF - Número-índice (2012=100),200408,agosto 2004,129314,1 Indústria geral,200408,2004-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9213270,1,Brasil,11599,PIMPF - Número-índice (2012=100),200409,setembro 2004,129314,1 Indústria geral,200409,2004-09-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9348569,1,Brasil,11599,PIMPF - Número-índice (2012=100),200410,outubro 2004,129314,1 Indústria geral,200410,2004-10-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9179510,1,Brasil,11599,PIMPF - Número-índice (2012=100),200411,novembro 2004,129314,1 Indústria geral,200411,2004-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8472790,1,Brasil,11599,PIMPF - Número-índice (2012=100),200412,dezembro 2004,129314,1 Indústria geral,200412,2004-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8104168,1,Brasil,11599,PIMPF - Número-índice (2012=100),200501,janeiro 2005,129314,1 Indústria geral,200501,2005-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,7638879,1,Brasil,11599,PIMPF - Número-índice (2012=100),200502,fevereiro 2005,129314,1 Indústria geral,200502,2005-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8804301,1,Brasil,11599,PIMPF - Número-índice (2012=100),200503,março 2005,129314,1 Indústria geral,200503,2005-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,8698309,1,Brasil,11599,PIMPF - Número-índice (2012=100),200504,abril 2005,129314,1 Indústria geral,200504,2005-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9110147,1,Brasil,11599,PIMPF - Número-índice (2012=100),200505,maio 2005,129314,1 Indústria geral,200505,2005-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9139158,1,Brasil,11599,PIMPF - Número-índice (2012=100),200506,junho 2005,129314,1 Indústria geral,200506,2005-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
1,Brasil,30,Número-índice,9050718,1,Brasil,11599,PIMPF - Número-índice (2012=100),200507,julho 2005,129314,1 Indústria geral,200507,2005-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Não ajustada sazonalmente,Brasil - Produção industrial - Não ajustada sazonalmente
