data,valor,serie,fonte,codigo,ajuste_sazonal,variavel,base
2004-10-01,9348569,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2004-11-01,9179510,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2004-12-01,8472790,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-01-01,8104168,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-02-01,7638879,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-03-01,8804301,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-04-01,8698309,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-05-01,9110147,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-06-01,9139158,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-07-01,9050718,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
2005-08-01,9559143,Brasil - Produção industrial - Não ajustada sazonalmente,IBGE/SIDRA,8159,Não ajustada sazonalmente,PIMPF - Número-índice (2012=100),Brasil - Produção industrial por setores
